time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time,CS10_waiting_num,CS10_charging_num,CS10_waiting_time,CS11_waiting_num,CS11_charging_num,CS11_waiting_time
3.55,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0.9562499999999996,0,3,1.4049999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0.9062499999999996,0,3,1.3549999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0.8562499999999995,0,3,1.3049999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7,0,0,0,0,0,0,0,1,0,0,1,0,3,3,1.615000000000001,0,3,1.2549999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.75,0,0,0,0,0,0,0,1,0,0,1,0,3,3,1.565000000000001,0,3,1.2049999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8,0,0,0,0,0,0,0,1,0,0,1,0,3,3,1.515000000000001,0,3,1.1549999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.85,0,0,0,0,0,0,0,1,0,0,1,0,3,3,1.465000000000001,0,3,1.1049999999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1.8375,0,3,1.0549999999999995,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1.7874999999999999,0,3,1.0049999999999994,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1.7374999999999998,0,3,0.9549999999999994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.05,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1.6874999999999998,0,3,0.9049999999999994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1.6374999999999997,0,3,0.8549999999999993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.15,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1.5874999999999997,0,3,0.8049999999999993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1.5374999999999996,0,3,0.7549999999999992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.25,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1.4874999999999996,0,3,0.7049999999999992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1.4374999999999996,0,3,0.6549999999999991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.35,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1.3874999999999995,0,3,0.6049999999999991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
