time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time
2.15,0,0,0.4041666666666657,0,2,0.7749999999999988,0,2,1.0999999999999983,0,0,0.9399999999999995,0,0,0.0,0,0,0.4249999999999987,0,2,0.2612499999999991,1,2,1.0912499999999998,0.0,0.0,7.41166666666671,3.0,6.0,0.0
2.16,0,0,0.39416666666666567,0,2,0.7649999999999988,0,2,1.0899999999999983,0,0,0.9299999999999995,0,0,0.0,0,0,0.4149999999999987,0,2,0.2512499999999991,1,2,1.0812499999999998,0.0,0.0,7.40166666666671,2.0,7.0,0.0
2.17,0,0,0.38416666666666566,0,2,0.7549999999999988,0,2,1.0799999999999983,0,0,0.9199999999999995,0,0,0.0,0,0,0.4049999999999987,0,2,0.5349999999999988,2,2,1.0712499999999998,0.0,0.0,7.39166666666671,2.0,7.0,0.0
2.18,0,0,0.37416666666666565,0,2,0.7449999999999988,0,2,1.0699999999999983,0,0,0.9099999999999995,0,0,1.325,0,0,0.3949999999999987,0,2,0.5249999999999988,2,2,1.0612499999999998,0.0,0.0,7.38166666666671,2.0,8.0,0.0
2.19,0,0,0.36416666666666564,0,2,0.7349999999999988,0,2,1.0599999999999983,0,0,0.8999999999999995,0,0,1.315,0,0,0.3849999999999987,0,2,0.5149999999999988,2,2,1.0512499999999998,0.0,0.0,7.3716666666667106,2.0,8.0,0.0
2.2,0,0,0.35416666666666563,0,2,0.7249999999999988,0,2,1.0499999999999983,0,0,0.8899999999999995,0,0,1.305,0,0,0.37499999999999867,0,2,0.5049999999999988,2,2,1.0412499999999998,0.0,0.0,7.361666666666711,2.0,8.0,0.0
2.21,0,0,0.3441666666666656,0,2,0.7149999999999987,0,2,1.0399999999999983,0,0,0.8799999999999994,0,0,1.295,0,0,0.36499999999999866,0,2,0.4949999999999988,2,2,1.0312499999999998,0.0,0.0,7.351666666666711,2.0,8.0,0.0
2.22,0,0,0.3341666666666656,0,2,0.7049999999999987,0,2,1.0299999999999983,0,0,0.8699999999999994,0,0,1.285,0,0,0.35499999999999865,0,2,0.48499999999999877,2,2,1.0212499999999998,0.0,0.0,7.341666666666711,2.0,8.0,0.0
2.23,0,0,0.3241666666666656,0,2,0.6949999999999987,0,2,1.0199999999999982,0,0,0.8599999999999994,0,0,1.275,0,0,0.34499999999999864,0,2,0.47499999999999876,2,2,1.0112499999999998,0.0,0.0,7.331666666666711,2.0,8.0,0.0
2.24,0,0,0.3141666666666656,0,2,0.6849999999999987,0,2,1.0099999999999982,0,0,0.8499999999999994,0,0,1.265,0,0,0.33499999999999863,0,2,0.46499999999999875,2,2,1.0012499999999998,0.0,0.0,7.321666666666712,2.0,8.0,0.0
2.25,0,0,0.3041666666666656,0,2,0.6749999999999987,0,2,0.9999999999999982,0,0,0.8399999999999994,0,0,1.255,0,0,0.3249999999999986,0,2,0.45499999999999874,2,2,0.9912499999999997,0.0,0.0,7.311666666666712,2.0,8.0,0.0
2.26,0,0,0.2941666666666656,0,2,0.6649999999999987,0,2,0.9899999999999982,0,0,0.8299999999999994,0,0,1.2449999999999999,0,0,0.3149999999999986,0,2,0.44499999999999873,2,2,0.9812499999999997,0.0,0.0,7.301666666666712,2.0,8.0,0.0
2.27,0,0,0.28416666666666557,0,2,0.6549999999999987,0,2,0.9799999999999982,0,0,0.8199999999999994,0,0,1.2349999999999999,0,0,0.3049999999999986,0,2,0.4349999999999987,2,2,0.9712499999999997,0.0,0.0,7.291666666666712,2.0,8.0,0.0
2.28,0,0,0.27416666666666556,0,2,0.6449999999999987,0,2,0.9699999999999982,0,0,0.8099999999999994,0,0,1.2249999999999999,0,0,0.2949999999999986,0,2,0.4249999999999987,2,2,0.9612499999999997,0.0,0.0,7.2816666666667125,2.0,8.0,0.0
2.29,0,0,0.26416666666666555,0,2,0.6349999999999987,0,2,0.9599999999999982,0,0,0.7999999999999994,0,0,1.2149999999999999,0,0,0.2849999999999986,0,2,0.4149999999999987,2,2,0.9512499999999997,0.0,0.0,7.271666666666713,2.0,8.0,0.0
2.3,0,0,0.25416666666666554,0,2,0.6249999999999987,0,2,0.9499999999999982,0,0,0.7899999999999994,0,0,1.2049999999999998,0,0,0.2749999999999986,0,2,0.4049999999999987,2,2,0.9412499999999997,0.0,0.0,7.261666666666713,2.0,8.0,0.0
2.31,0,0,0.24416666666666553,0,2,0.6149999999999987,0,2,0.9399999999999982,0,0,1.9400000000000093,0,0,1.1949999999999998,0,0,0.26499999999999857,0,2,0.3949999999999987,2,2,0.9662499999999994,0.0,0.0,7.251666666666713,4.0,8.0,0.0
2.32,0,0,0.23416666666666552,0,2,0.6049999999999986,0,2,0.9299999999999982,0,0,1.9300000000000093,0,0,1.1849999999999998,0,0,0.25499999999999856,0,2,0.3849999999999987,2,2,0.9562499999999994,0.0,0.0,7.241666666666713,4.0,8.0,0.0
2.33,0,0,0.22416666666666551,0,2,0.5949999999999986,0,2,0.9199999999999982,0,0,1.9200000000000093,0,0,1.1749999999999998,0,0,0.24499999999999855,0,2,0.37499999999999867,2,2,0.9462499999999994,0.0,0.0,7.2316666666667135,4.0,8.0,0.0
2.34,0,0,0.2141666666666655,0,2,0.5849999999999986,0,2,0.9099999999999981,0,0,1.9100000000000092,0,0,1.1649999999999998,0,0,0.23499999999999854,0,2,0.36499999999999866,2,2,0.9362499999999994,0.0,0.0,7.221666666666714,4.0,8.0,0.0
2.35,0,0,0.2041666666666655,0,2,0.5749999999999986,0,2,0.8999999999999981,0,0,1.9000000000000092,0,0,1.1549999999999998,0,0,0.22499999999999853,0,2,0.35499999999999865,2,2,0.9262499999999994,0.0,0.0,7.211666666666714,4.0,8.0,0.0
2.36,0,0,0.1941666666666655,0,2,0.5649999999999986,0,2,0.8899999999999981,0,0,1.8900000000000092,0,0,1.1449999999999998,0,0,0.21499999999999853,0,2,0.34499999999999864,2,2,0.9162499999999993,0.0,0.0,7.201666666666714,4.0,8.0,0.0
2.37,0,0,0.18416666666666548,0,2,0.5549999999999986,0,2,0.8799999999999981,0,0,1.8800000000000092,0,0,1.1349999999999998,0,0,0.20499999999999852,0,2,0.33499999999999863,2,2,0.9062499999999993,0.0,0.0,7.191666666666714,4.0,8.0,0.0
2.38,0,0,0.17416666666666547,0,2,0.5449999999999986,0,2,0.8699999999999981,0,0,1.8700000000000092,0,0,1.1249999999999998,0,0,0.1949999999999985,0,2,0.3249999999999986,2,2,0.8962499999999993,0.0,0.0,7.181666666666715,4.0,8.0,0.0
2.39,0,0,0.16416666666666546,0,2,0.5349999999999986,0,2,0.8599999999999981,0,0,1.8600000000000092,0,0,1.1549999999999998,0,0,0.1849999999999985,0,2,0.3149999999999986,2,1,0.8862499999999993,0.0,0.0,7.171666666666715,5.0,8.0,0.0
2.4,0,0,0.15416666666666545,0,2,0.5249999999999986,0,2,0.8499999999999981,0,0,1.8500000000000092,0,0,1.1449999999999998,0,0,0.1749999999999985,0,2,0.3049999999999986,1,2,0.8762499999999993,0.0,0.0,7.161666666666715,5.0,8.0,0.0
2.41,0,0,0.14416666666666544,0,2,0.5149999999999986,0,2,0.8399999999999981,0,0,1.8400000000000092,0,0,1.1349999999999998,0,0,0.16499999999999848,0,2,0.2949999999999986,1,1,0.8662499999999993,0.0,0.0,7.151666666666715,5.0,8.0,0.0
2.42,0,0,0.13416666666666544,0,2,0.5049999999999986,0,2,0.8299999999999981,0,0,1.8300000000000092,0,0,1.1249999999999998,0,0,0.15499999999999847,0,2,0.2849999999999986,0,2,0.8562499999999993,0.0,0.0,7.1416666666667155,5.0,8.0,0.0
2.43,0,0,0.12416666666666544,0,2,0.49499999999999855,0,2,0.8199999999999981,0,0,1.8200000000000092,0,0,1.1149999999999998,0,0,0.14499999999999846,0,2,0.2749999999999986,0,2,0.8462499999999993,0.0,0.0,7.131666666666716,5.0,8.0,0.0
2.44,0,0,0.11416666666666545,0,2,0.48499999999999854,0,2,0.809999999999998,0,0,1.8100000000000092,0,0,1.1049999999999998,0,0,0.13499999999999845,0,2,0.26499999999999857,0,2,0.8362499999999993,0.0,0.0,7.121666666666716,5.0,8.0,0.0
2.45,0,0,0.10416666666666545,0,2,0.47499999999999853,0,2,0.799999999999998,0,0,1.8000000000000091,0,0,1.0949999999999998,0,0,0.12499999999999846,0,2,0.25499999999999856,0,2,0.8262499999999993,0.0,0.0,7.111666666666716,5.0,8.0,0.0
2.46,0,0,0.09416666666666546,0,2,0.4649999999999985,0,2,0.789999999999998,0,0,1.7900000000000091,0,0,1.0849999999999997,0,0,0.11499999999999846,0,2,0.24499999999999855,0,2,0.8162499999999993,0.0,0.0,7.101666666666716,5.0,8.0,0.0
2.47,0,0,0.08416666666666546,0,2,0.4549999999999985,0,2,0.779999999999998,0,0,1.7800000000000091,0,0,1.0749999999999997,0,0,0.10499999999999847,0,2,0.23499999999999854,0,2,0.8062499999999992,0.0,0.0,7.0916666666667165,5.0,8.0,0.0
2.48,0,0,0.07416666666666547,0,2,0.4449999999999985,0,2,0.769999999999998,0,0,1.7700000000000091,0,0,1.0649999999999997,0,0,0.09499999999999847,0,2,0.22499999999999853,0,2,0.7962499999999992,0.0,0.0,7.081666666666717,5.0,8.0,0.0
2.49,0,0,0.06416666666666547,0,2,0.4349999999999985,0,2,0.759999999999998,0,0,1.7600000000000091,0,0,1.0549999999999997,0,0,0.08499999999999848,0,2,0.21499999999999853,0,2,0.7862499999999992,0.0,0.0,7.071666666666717,5.0,8.0,0.0
2.5,0,0,0.05416666666666547,0,2,0.4249999999999985,0,2,0.749999999999998,0,0,1.750000000000009,0,0,1.0449999999999997,0,0,0.07499999999999848,0,2,0.20499999999999852,0,2,0.7762499999999992,0.0,0.0,7.061666666666717,5.0,8.0,0.0
2.51,0,0,0.044166666666665466,0,2,0.4149999999999985,0,2,0.739999999999998,0,0,1.740000000000009,0,0,1.0349999999999997,0,0,0.06499999999999849,0,2,0.1949999999999985,0,2,0.7662499999999992,0.0,0.0,7.051666666666717,5.0,8.0,0.0
2.52,0,0,0.034166666666665464,0,2,0.4049999999999985,0,2,0.729999999999998,0,0,1.730000000000009,0,0,1.0249999999999997,0,0,0.05499999999999849,0,2,0.1849999999999985,0,2,0.7562499999999992,0.0,0.0,7.041666666666718,5.0,8.0,0.0
2.53,0,0,0.024166666666665462,0,2,0.39499999999999846,0,2,0.719999999999998,0,0,1.720000000000009,0,0,1.0149999999999997,0,0,0.044999999999998486,0,2,0.1749999999999985,0,2,0.7462499999999992,0.0,0.0,7.031666666666718,5.0,8.0,0.0
